step_number,aggregation_pct,sortedness_pct,monotonicity_pct,swap_count,array_size,algotype_mix,frozen_count,seed
27,100.0000,86.6667,96.6667,2,30,100%_Bubble,1,123
28,100.0000,90.0000,96.6667,1,30,100%_Bubble,1,123
29,100.0000,93.3333,96.6667,1,30,100%_Bubble,1,123
30,100.0000,100.0000,100.0000,1,30,100%_Bubble,1,123
31,100.0000,100.0000,100.0000,0,30,100%_Bubble,1,123
32,100.0000,100.0000,100.0000,0,30,100%_Bubble,1,123
33,100.0000,100.0000,100.0000,0,30,100%_Bubble,1,123
0,100.0000,3.3333,46.6667,0,30,100%_Bubble,1,789
1,100.0000,0.0000,56.6667,10,30,100%_Bubble,1,789
2,100.0000,10.0000,56.6667,9,30,100%_Bubble,1,789
3,100.0000,0.0000,66.6667,10,30,100%_Bubble,1,789
4,100.0000,0.0000,63.3333,5,30,100%_Bubble,1,789
5,100.0000,10.0000,60.0000,9,30,100%_Bubble,1,789
6,100.0000,0.0000,66.6667,8,30,100%_Bubble,1,789
7,100.0000,0.0000,70.0000,7,30,100%_Bubble,1,789
8,100.0000,0.0000,73.3333,5,30,100%_Bubble,1,789
9,100.0000,0.0000,63.3333,7,30,100%_Bubble,1,789
10,100.0000,0.0000,66.6667,8,30,100%_Bubble,1,789
11,100.0000,0.0000,66.6667,6,30,100%_Bubble,1,789
12,100.0000,0.0000,70.0000,6,30,100%_Bubble,1,789
13,100.0000,0.0000,63.3333,7,30,100%_Bubble,1,789
14,100.0000,0.0000,70.0000,6,30,100%_Bubble,1,789
15,100.0000,3.3333,66.6667,8,30,100%_Bubble,1,789
16,100.0000,0.0000,70.0000,8,30,100%_Bubble,1,789
17,100.0000,3.3333,70.0000,6,30,100%_Bubble,1,789
18,100.0000,3.3333,76.6667,5,30,100%_Bubble,1,789
19,100.0000,3.3333,70.0000,4,30,100%_Bubble,1,789
20,100.0000,3.3333,70.0000,7,30,100%_Bubble,1,789
21,100.0000,3.3333,66.6667,6,30,100%_Bubble,1,789
22,100.0000,6.6667,73.3333,7,30,100%_Bubble,1,789
23,100.0000,6.6667,66.6667,4,30,100%_Bubble,1,789
24,100.0000,10.0000,70.0000,9,30,100%_Bubble,1,789
25,100.0000,6.6667,70.0000,7,30,100%_Bubble,1,789
26,100.0000,6.6667,73.3333,5,30,100%_Bubble,1,789
27,100.0000,10.0000,70.0000,7,30,100%_Bubble,1,789
28,100.0000,13.3333,73.3333,6,30,100%_Bubble,1,789
29,100.0000,13.3333,80.0000,3,30,100%_Bubble,1,789
30,100.0000,16.6667,73.3333,5,30,100%_Bubble,1,789
31,100.0000,16.6667,73.3333,6,30,100%_Bubble,1,789
32,100.0000,13.3333,76.6667,6,30,100%_Bubble,1,789
33,100.0000,13.3333,73.3333,6,30,100%_Bubble,1,789
34,100.0000,20.0000,73.3333,5,30,100%_Bubble,1,789
35,100.0000,30.0000,73.3333,6,30,100%_Bubble,1,789
36,100.0000,66.6667,90.0000,6,30,100%_Bubble,1,789
37,100.0000,73.3333,86.6667,3,30,100%_Bubble,1,789
38,100.0000,93.3333,96.6667,4,30,100%_Bubble,1,789
39,100.0000,100.0000,100.0000,1,30,100%_Bubble,1,789
40,100.0000,100.0000,100.0000,0,30,100%_Bubble,1,789
41,100.0000,100.0000,100.0000,0,30,100%_Bubble,1,789
42,100.0000,100.0000,100.0000,0,30,100%_Bubble,1,789
0,100.0000,6.6667,46.6667,0,30,100%_Bubble,3,42
1,100.0000,6.6667,60.0000,9,30,100%_Bubble,3,42
2,100.0000,6.6667,56.6667,10,30,100%_Bubble,3,42
3,100.0000,6.6667,53.3333,8,30,100%_Bubble,3,42
4,100.0000,6.6667,53.3333,9,30,100%_Bubble,3,42
5,100.0000,6.6667,60.0000,9,30,100%_Bubble,3,42
6,100.0000,13.3333,60.0000,9,30,100%_Bubble,3,42
7,100.0000,10.0000,63.3333,8,30,100%_Bubble,3,42
8,100.0000,20.0000,63.3333,7,30,100%_Bubble,3,42
9,100.0000,10.0000,66.6667,8,30,100%_Bubble,3,42
10,100.0000,10.0000,60.0000,7,30,100%_Bubble,3,42
11,100.0000,6.6667,60.0000,8,30,100%_Bubble,3,42
12,100.0000,6.6667,73.3333,8,30,100%_Bubble,3,42
13,100.0000,6.6667,66.6667,4,30,100%_Bubble,3,42
14,100.0000,10.0000,70.0000,7,30,100%_Bubble,3,42
15,100.0000,13.3333,66.6667,6,30,100%_Bubble,3,42
16,100.0000,13.3333,66.6667,8,30,100%_Bubble,3,42
17,100.0000,10.0000,73.3333,9,30,100%_Bubble,3,42
18,100.0000,10.0000,73.3333,5,30,100%_Bubble,3,42
19,100.0000,16.6667,70.0000,5,30,100%_Bubble,3,42
20,100.0000,10.0000,66.6667,7,30,100%_Bubble,3,42
21,100.0000,10.0000,70.0000,4,30,100%_Bubble,3,42
22,100.0000,20.0000,76.6667,6,30,100%_Bubble,3,42
23,100.0000,20.0000,73.3333,4,30,100%_Bubble,3,42
24,100.0000,13.3333,66.6667,6,30,100%_Bubble,3,42
25,100.0000,6.6667,80.0000,5,30,100%_Bubble,3,42
26,100.0000,6.6667,73.3333,2,30,100%_Bubble,3,42
27,100.0000,13.3333,80.0000,6,30,100%_Bubble,3,42
28,100.0000,13.3333,73.3333,5,30,100%_Bubble,3,42
29,100.0000,13.3333,80.0000,6,30,100%_Bubble,3,42
30,100.0000,20.0000,76.6667,5,30,100%_Bubble,3,42
31,100.0000,20.0000,80.0000,5,30,100%_Bubble,3,42
32,100.0000,26.6667,83.3333,4,30,100%_Bubble,3,42
33,100.0000,26.6667,80.0000,4,30,100%_Bubble,3,42
34,100.0000,26.6667,76.6667,3,30,100%_Bubble,3,42
35,100.0000,33.3333,80.0000,4,30,100%_Bubble,3,42
36,100.0000,53.3333,86.6667,6,30,100%_Bubble,3,42
37,100.0000,60.0000,86.6667,2,30,100%_Bubble,3,42
38,100.0000,76.6667,93.3333,3,30,100%_Bubble,3,42
39,100.0000,83.3333,96.6667,1,30,100%_Bubble,3,42
40,100.0000,86.6667,96.6667,1,30,100%_Bubble,3,42
41,100.0000,90.0000,96.6667,1,30,100%_Bubble,3,42
42,100.0000,93.3333,96.6667,1,30,100%_Bubble,3,42
43,100.0000,100.0000,100.0000,1,30,100%_Bubble,3,42
44,100.0000,100.0000,100.0000,0,30,100%_Bubble,3,42
45,100.0000,100.0000,100.0000,0,30,100%_Bubble,3,42
46,100.0000,100.0000,100.0000,0,30,100%_Bubble,3,42
0,100.0000,6.6667,53.3333,0,30,100%_Bubble,3,123
1,100.0000,3.3333,63.3333,9,30,100%_Bubble,3,123
2,100.0000,0.0000,70.0000,7,30,100%_Bubble,3,123
3,100.0000,0.0000,63.3333,6,30,100%_Bubble,3,123
4,100.0000,3.3333,60.0000,5,30,100%_Bubble,3,123
5,100.0000,10.0000,63.3333,8,30,100%_Bubble,3,123
6,100.0000,10.0000,70.0000,10,30,100%_Bubble,3,123
7,100.0000,10.0000,76.6667,7,30,100%_Bubble,3,123
8,100.0000,13.3333,73.3333,6,30,100%_Bubble,3,123
9,100.0000,16.6667,73.3333,6,30,100%_Bubble,3,123
10,100.0000,16.6667,76.6667,6,30,100%_Bubble,3,123
11,100.0000,13.3333,70.0000,6,30,100%_Bubble,3,123
12,100.0000,13.3333,73.3333,2,30,100%_Bubble,3,123
13,100.0000,20.0000,70.0000,7,30,100%_Bubble,3,123
14,100.0000,30.0000,76.6667,5,30,100%_Bubble,3,123
15,100.0000,33.3333,70.0000,5,30,100%_Bubble,3,123
16,100.0000,33.3333,76.6667,7,30,100%_Bubble,3,123
17,100.0000,36.6667,80.0000,4,30,100%_Bubble,3,123
18,100.0000,33.3333,86.6667,4,30,100%_Bubble,3,123
19,100.0000,36.6667,83.3333,3,30,100%_Bubble,3,123
20,100.0000,33.3333,86.6667,4,30,100%_Bubble,3,123
21,100.0000,33.3333,83.3333,4,30,100%_Bubble,3,123
22,100.0000,40.0000,83.3333,5,30,100%_Bubble,3,123
23,100.0000,46.6667,83.3333,5,30,100%_Bubble,3,123
24,100.0000,60.0000,86.6667,5,30,100%_Bubble,3,123
25,100.0000,76.6667,90.0000,4,30,100%_Bubble,3,123
26,100.0000,90.0000,96.6667,2,30,100%_Bubble,3,123
27,100.0000,93.3333,96.6667,1,30,100%_Bubble,3,123
28,100.0000,100.0000,100.0000,1,30,100%_Bubble,3,123
29,100.0000,100.0000,100.0000,0,30,100%_Bubble,3,123
30,100.0000,100.0000,100.0000,0,30,100%_Bubble,3,123
31,100.0000,100.0000,100.0000,0,30,100%_Bubble,3,123
0,100.0000,3.3333,46.6667,0,30,100%_Bubble,3,789
1,100.0000,0.0000,63.3333,10,30,100%_Bubble,3,789
2,100.0000,6.6667,56.6667,6,30,100%_Bubble,3,789
3,100.0000,3.3333,66.6667,8,30,100%_Bubble,3,789
4,100.0000,3.3333,66.6667,7,30,100%_Bubble,3,789
5,100.0000,6.6667,66.6667,10,30,100%_Bubble,3,789
6,100.0000,3.3333,66.6667,7,30,100%_Bubble,3,789
7,100.0000,0.0000,66.6667,5,30,100%_Bubble,3,789
8,100.0000,0.0000,70.0000,8,30,100%_Bubble,3,789
9,100.0000,0.0000,66.6667,8,30,100%_Bubble,3,789
10,100.0000,0.0000,73.3333,6,30,100%_Bubble,3,789
11,100.0000,0.0000,73.3333,5,30,100%_Bubble,3,789
12,100.0000,0.0000,70.0000,6,30,100%_Bubble,3,789
13,100.0000,0.0000,73.3333,6,30,100%_Bubble,3,789
14,100.0000,0.0000,73.3333,6,30,100%_Bubble,3,789
15,100.0000,0.0000,76.6667,7,30,100%_Bubble,3,789
16,100.0000,0.0000,70.0000,6,30,100%_Bubble,3,789
17,100.0000,0.0000,70.0000,3,30,100%_Bubble,3,789
18,100.0000,3.3333,70.0000,7,30,100%_Bubble,3,789
19,100.0000,3.3333,70.0000,7,30,100%_Bubble,3,789
20,100.0000,3.3333,66.6667,6,30,100%_Bubble,3,789
21,100.0000,6.6667,70.0000,8,30,100%_Bubble,3,789
22,100.0000,6.6667,66.6667,8,30,100%_Bubble,3,789
23,100.0000,10.0000,73.3333,8,30,100%_Bubble,3,789
24,100.0000,10.0000,76.6667,5,30,100%_Bubble,3,789
25,100.0000,10.0000,70.0000,5,30,100%_Bubble,3,789
26,100.0000,23.3333,70.0000,8,30,100%_Bubble,3,789
27,100.0000,26.6667,76.6667,5,30,100%_Bubble,3,789
28,100.0000,20.0000,80.0000,6,30,100%_Bubble,3,789
29,100.0000,20.0000,80.0000,4,30,100%_Bubble,3,789
30,100.0000,23.3333,80.0000,4,30,100%_Bubble,3,789
31,100.0000,23.3333,73.3333,5,30,100%_Bubble,3,789
32,100.0000,26.6667,76.6667,6,30,100%_Bubble,3,789
33,100.0000,33.3333,80.0000,5,30,100%_Bubble,3,789
34,100.0000,36.6667,83.3333,5,30,100%_Bubble,3,789
35,100.0000,36.6667,80.0000,4,30,100%_Bubble,3,789
36,100.0000,36.6667,76.6667,4,30,100%_Bubble,3,789
37,100.0000,46.6667,80.0000,7,30,100%_Bubble,3,789
38,100.0000,56.6667,86.6667,3,30,100%_Bubble,3,789
39,100.0000,63.3333,86.6667,2,30,100%_Bubble,3,789
40,100.0000,80.0000,90.0000,4,30,100%_Bubble,3,789
41,100.0000,80.0000,90.0000,0,30,100%_Bubble,3,789
42,100.0000,100.0000,100.0000,3,30,100%_Bubble,3,789
43,100.0000,100.0000,100.0000,0,30,100%_Bubble,3,789
44,100.0000,100.0000,100.0000,0,30,100%_Bubble,3,789
45,100.0000,100.0000,100.0000,0,30,100%_Bubble,3,789
0,100.0000,6.6667,46.6667,0,30,50/50_Bubble/Selection,0,42
1,100.0000,6.6667,53.3333,9,30,50/50_Bubble/Selection,0,42
2,100.0000,6.6667,63.3333,10,30,50/50_Bubble/Selection,0,42
3,100.0000,6.6667,60.0000,7,30,50/50_Bubble/Selection,0,42
4,100.0000,6.6667,53.3333,8,30,50/50_Bubble/Selection,0,42
5,100.0000,6.6667,56.6667,11,30,50/50_Bubble/Selection,0,42
6,100.0000,10.0000,60.0000,7,30,50/50_Bubble/Selection,0,42
7,100.0000,13.3333,56.6667,9,30,50/50_Bubble/Selection,0,42
8,100.0000,10.0000,60.0000,7,30,50/50_Bubble/Selection,0,42
9,100.0000,10.0000,60.0000,7,30,50/50_Bubble/Selection,0,42
10,100.0000,13.3333,66.6667,8,30,50/50_Bubble/Selection,0,42
11,100.0000,13.3333,73.3333,6,30,50/50_Bubble/Selection,0,42
12,100.0000,16.6667,66.6667,6,30,50/50_Bubble/Selection,0,42
13,100.0000,16.6667,66.6667,3,30,50/50_Bubble/Selection,0,42
14,100.0000,10.0000,66.6667,5,30,50/50_Bubble/Selection,0,42
15,100.0000,10.0000,70.0000,7,30,50/50_Bubble/Selection,0,42
16,100.0000,6.6667,70.0000,6,30,50/50_Bubble/Selection,0,42
17,100.0000,6.6667,76.6667,5,30,50/50_Bubble/Selection,0,42
18,100.0000,10.0000,66.6667,4,30,50/50_Bubble/Selection,0,42
19,100.0000,16.6667,70.0000,7,30,50/50_Bubble/Selection,0,42
20,100.0000,16.6667,66.6667,6,30,50/50_Bubble/Selection,0,42
21,100.0000,16.6667,70.0000,9,30,50/50_Bubble/Selection,0,42
22,100.0000,16.6667,73.3333,5,30,50/50_Bubble/Selection,0,42
23,100.0000,16.6667,70.0000,4,30,50/50_Bubble/Selection,0,42
24,100.0000,23.3333,70.0000,7,30,50/50_Bubble/Selection,0,42
25,100.0000,16.6667,80.0000,5,30,50/50_Bubble/Selection,0,42
26,100.0000,16.6667,83.3333,4,30,50/50_Bubble/Selection,0,42
27,100.0000,16.6667,76.6667,5,30,50/50_Bubble/Selection,0,42
28,100.0000,16.6667,80.0000,5,30,50/50_Bubble/Selection,0,42
29,100.0000,16.6667,76.6667,6,30,50/50_Bubble/Selection,0,42
30,100.0000,16.6667,80.0000,6,30,50/50_Bubble/Selection,0,42
31,100.0000,23.3333,86.6667,4,30,50/50_Bubble/Selection,0,42
32,100.0000,26.6667,90.0000,1,30,50/50_Bubble/Selection,0,42
33,100.0000,26.6667,86.6667,2,30,50/50_Bubble/Selection,0,42
34,100.0000,26.6667,80.0000,3,30,50/50_Bubble/Selection,0,42
35,100.0000,26.6667,83.3333,6,30,50/50_Bubble/Selection,0,42
36,100.0000,30.0000,86.6667,1,30,50/50_Bubble/Selection,0,42
37,100.0000,36.6667,90.0000,2,30,50/50_Bubble/Selection,0,42
38,100.0000,40.0000,86.6667,3,30,50/50_Bubble/Selection,0,42
39,100.0000,46.6667,86.6667,4,30,50/50_Bubble/Selection,0,42
40,100.0000,50.0000,86.6667,3,30,50/50_Bubble/Selection,0,42
41,100.0000,53.3333,86.6667,2,30,50/50_Bubble/Selection,0,42
42,100.0000,56.6667,86.6667,2,30,50/50_Bubble/Selection,0,42
43,100.0000,70.0000,90.0000,3,30,50/50_Bubble/Selection,0,42
44,100.0000,80.0000,93.3333,2,30,50/50_Bubble/Selection,0,42
45,100.0000,90.0000,96.6667,2,30,50/50_Bubble/Selection,0,42
46,100.0000,90.0000,96.6667,0,30,50/50_Bubble/Selection,0,42
47,100.0000,93.3333,96.6667,1,30,50/50_Bubble/Selection,0,42
48,100.0000,93.3333,96.6667,0,30,50/50_Bubble/Selection,0,42
49,100.0000,100.0000,100.0000,1,30,50/50_Bubble/Selection,0,42
50,100.0000,100.0000,100.0000,0,30,50/50_Bubble/Selection,0,42
51,100.0000,100.0000,100.0000,0,30,50/50_Bubble/Selection,0,42
